MouseID,TaskDate,Task,TaskRepetition,sex,group,maxRewards,omits,longResponses,meanLongResponseTime
1.1,2024-09-25,TrainingTask_RL,1,Male,Control,128,22,20,5.89249999999998
1.2,2024-09-25,TrainingTask_RL,1,Male,Control,116,33,17,6.2105882352941
2.1,2024-09-25,TrainingTask_RL,1,Male,Control,125,13,18,5.75999999999998
3.2,2024-09-25,TrainingTask_RL,1,Male,Control,109,49,22,6.09772727272727
4.2,2024-09-25,TrainingTask_RL,1,Female,Control,142,29,13,5.69923076923078
5.4,2024-09-25,TrainingTask_RL,1,Female,Control,100,63,25,5.98680000000002
1.1,2024-09-26,TrainingTask_LL - Copy,1,Male,Control,131,21,13,5.86153846153846
1.2,2024-09-26,TrainingTask_LL - Copy,1,Male,Control,119,26,23,6.13565217391302
2.1,2024-09-26,TrainingTask_LL - Copy,1,Male,Control,134,12,6,6.23333333333334
3.2,2024-09-26,TrainingTask_LL - Copy,1,Male,Control,108,45,26,5.70923076923077
4.2,2024-09-26,TrainingTask_LL - Copy,1,Female,Control,128,36,11,6.12909090909094
5.4,2024-09-26,TrainingTask_LL - Copy,1,Female,Control,126,42,26,6.23692307692313
1.1,2024-09-27,TrainingTask_RL,2,Male,Control,150,6,9,5.98111111111111
1.2,2024-09-27,TrainingTask_RL,2,Male,Control,140,14,16,5.94937500000002
2.1,2024-09-27,TrainingTask_RL,2,Male,Control,146,3,5,5.77000000000003
3.2,2024-09-27,TrainingTask_RL,2,Male,Control,113,54,26,5.90076923076924
3.3,2024-09-27,TrainingTask_RL,1,Male,Control,110,61,25,6.04440000000001
4.2,2024-09-27,TrainingTask_RL,2,Female,Control,161,16,7,5.77857142857147
5.4,2024-09-27,TrainingTask_RL,2,Female,Control,123,31,16,6.07062500000003
5.5,2024-09-27,TrainingTask_RL,1,Female,Control,117,48,27,5.77925925925926
1.1,2024-09-30,TrainingTask_LL - Copy,2,Male,Control,94,69,22,6.09227272727278
1.2,2024-09-30,TrainingTask_LL - Copy,2,Male,Control,96,81,24,5.9766666666667
2.1,2024-09-30,TrainingTask_LL - Copy,2,Male,Control,111,26,16,5.815
3.2,2024-09-30,TrainingTask_LL - Copy,2,Male,Control,116,48,25,6.12999999999999
3.3,2024-09-30,TrainingTask_LL - Copy,1,Male,Control,84,105,31,5.83999999999999
4.2,2024-09-30,TrainingTask_LL - Copy,2,Female,Control,123,15,5,5.62200000000009
5.2,2024-09-30,TrainingTask_LL - Copy,1,Female,Control,94,80,32,6.0540625
5.3,2024-09-30,TrainingTask_LL - Copy,1,Female,Control,117,60,29,5.8765517241379
5.4,2024-09-30,TrainingTask_LL - Copy,2,Female,Control,120,45,27,6.03629629629628
5.5,2024-09-30,TrainingTask_LL - Copy,1,Female,Control,93,88,23,6.00043478260869
1.1,2024-10-01,TrainingTask_RL,3,Male,Control,115,41,14,6.02857142857144
1.2,2024-10-01,TrainingTask_RL,3,Male,Control,126,43,22,6.03863636363636
2.1,2024-10-01,TrainingTask_RL,3,Male,Control,138,15,17,5.86176470588239
3.1,2024-10-01,TrainingTask_RL,1,Male,Control,122,60,22,5.82500000000006
3.2,2024-10-01,TrainingTask_RL,3,Male,Control,134,27,12,5.59166666666666
3.3,2024-10-01,TrainingTask_RL,2,Male,Control,84,106,34,6.12294117647058
4.2,2024-10-01,TrainingTask_RL,3,Female,Control,142,10,23,5.96086956521739
5.1,2024-10-01,TrainingTask_RL,1,Female,Control,77,107,21,6.12476190476192
5.2,2024-10-01,TrainingTask_RL,1,Female,Control,100,70,27,6.04777777777778
5.3,2024-10-01,TrainingTask_RL,1,Female,Control,119,23,24,6.09541666666666
5.4,2024-10-01,TrainingTask_RL,3,Female,Control,117,24,18,5.99277777777776
